filing_id,registration_number,officer_local_ref,full_name,birth_year_or_age_band,nationality_or_region,role_title,appointment_date,cessation_date,filing_date,service_address,filing_status
FLG-000001,REG-NDH-01015,OFR-20001,Edward Vann,1815,Nordhaven,Industrial and shipping adviser,1840-01-01,1888-12-31,1840-03-09,Nordhaven Union,historical
FLG-000002,REG-VLN-01016,OFR-20002,Emil Warden,1871,Valennan,Commercial and medical investor,1895-01-01,1943-12-31,1895-01-13,Valenne Republic,historical
FLG-000003,REG-NDH-01017,OFR-20003,Adrian Vosmere,1920–1929,Nordhaven,Biotechnology and logistics executive,1952-01-01,1991-12-31,1952-01-16,Nordhaven Union,historical
FLG-000004,REG-VLN-01001,OFR-20004,Dr. Elias Voss,1961,Valennan,Executive chair of Meridian BioLogistics,1996-01-01,,1996-02-15,Meridian Valenne Headquarters,active
FLG-000005,REG-KNT-01018,OFR-20005,J. Varlan,1862,Kintaran,Natural-history correspondent,1885-01-01,1918-12-31,1885-03-14,Kintara Republic,historical
FLG-000006,REG-AVL-01019,OFR-20006,Jonah Bell,1900,Aveloran,Conservation researcher,1924-01-01,1963-12-31,1924-02-16,Avelora Federation,historical
FLG-000007,REG-VLN-01020,OFR-20007,Julien Marot,1940–1949,Valennan,Environmental-policy adviser,1970-01-01,2004-12-31,1970-02-28,Valenne Republic,historical
FLG-000008,REG-VLN-01006,OFR-20008,Jacob Vale,1971,Valennan,Founder and senior adviser of Vale Strategy Collective,2008-01-01,,2008-01-13,Vale Strategy Valenne Office,active
FLG-000009,REG-VLN-01002,OFR-20009,Dr. Naima Orrel,1978,Valennan,research director at asterion clinical institute,2001-01-01,,2001-01-15,Asterion Central Clinical Campus,active
FLG-000010,REG-VLN-01001,OFR-20010,Soren Kade,1968,Nordhaven,Strategic logistics director at Meridian BioLogistics,1999-01-01,,1999-01-26,Meridian Valenne Headquarters,active
FLG-000011,REG-VLN-01010,OFR-20012,Mara Venn,1980–1989,Valennan,Former research-logistics employee and independent source,2004-01-01,,2004-01-17,Valenne Central District,active
FLG-000012,REG-VLN-01002,OFR-20013,Dr. Corin Hale,1974,Valennan,Imaging and physiological-signal specialist,2002-01-01,,2002-01-30,Asterion Central Clinical Campus,active
FLG-000013,REG-TMB-01003,OFR-20015,Niko Verran,1972,Tembaran,Cold-chain route-planning manager,2000-01-01,,2000-03-04,Northstar Tembara Cold-Chain Hub,active
FLG-000014,REG-AVL-01007,OFR-20016,Selene Aras,1985,Aveloran,Senior ecological analyst,2007-01-01,,2007-03-05,Threshold Earth Avelora Laboratory,active
FLG-000015,REG-VLN-01021,OFR-20020,Celene Varro,1950–1959,Valennan,Chief executive of Solvane Energy Group,1977-01-01,,1977-02-07,Valenne Republic,active
FLG-000016,REG-NDH-01022,OFR-20021,Oskar Nivren,1946,Nordhaven,Executive chair of Nivren Maritime Logistics,1973-01-01,,1973-01-12,Nordhaven Union,active
FLG-000017,REG-VLN-01023,OFR-20022,Adrienne Solva,1958,Valennan,Executive director of Ardena Capital Union,1987-01-01,,1987-02-27,Valenne Republic,active
FLG-000018,REG-KNT-01024,OFR-20023,Rayan Belen,1952,Kintaran,Chair of Belen Agro-Industries,1981-01-01,,1981-02-03,Kintara Republic,active
FLG-000019,REG-NDH-01012,OFR-20026,Tomas Pell,1970–1979,Nordhaven,Compliance partner,1998-01-01,,1998-02-20,Nordhaven Maritime District,active
FLG-000020,REG-AVL-01013,OFR-20027,Anika Dren,1981,Aveloran,Field research coordinator,2006-01-01,,2006-01-14,Eastern Avelora Agricultural Cluster,active
FLG-000021,REG-VLN-01010,OFR-20028,Jora Menne,1977,Valennan,Investigative journalist,2001-01-01,,2001-02-18,Valenne Central District,active
FLG-000022,REG-VLN-01005,OFR-20020,Celene Varro,1950,Valennan,Industry council member,1977-05-01,1987-12-31,1977-05-27,Valenne Central District,historical
FLG-000023,REG-VLN-01021,OFR-20020,Celene Varro,1950–1959,Valennan,Executive board member,1988-01-01,1997-06-30,1988-01-27,Valenne Republic,historical
FLG-000024,REG-TMB-01003,OFR-20021,Oskar Nivren,1946,Nordhaven,Regional logistics director,1973-03-01,1986-12-31,1973-04-01,Northstar Tembara Cold-Chain Hub,historical
FLG-000025,REG-NDH-01022,OFR-20021,Oskar Nivren,1946,Nordhaven,Chief operating officer,1987-01-01,1998-12-31,1987-02-23,Nordhaven Union,historical
FLG-000026,REG-VLN-01004,OFR-20022,Adrienne Solva,1958,Valennan,Investment director,1987-09-01,1997-12-31,1987-10-21,Meridian Valenne Headquarters,historical
FLG-000027,REG-VLN-01023,OFR-20022,Adrienne Solva,1950–1959,Valennan,Executive committee member,1998-01-01,2008-12-31,1998-01-29,Valenne Republic,historical
FLG-000028,REG-KNT-01024,OFR-20023,Rayan Belen,1952,Kintaran,Managing director,1993-01-01,2002-12-31,1993-01-25,Kintara Republic,historical
FLG-000029,REG-VLN-01001,OFR-20029,Nora Essen,1965,Valennan,Operations director,1997-01-01,2016-12-31,1997-02-05,Meridian Valenne Headquarters,historical
FLG-000030,REG-VLN-01005,OFR-20029,Nora Essen,1965,Valennan,Programme manager,1989-01-01,1996-12-31,1989-01-15,Valenne Central District,historical
FLG-000031,REG-VLN-01002,OFR-20030,Daria Zaven,1950–1959,Valennan,Clinical research scientist,1990-01-01,,1990-03-10,Asterion Central Clinical Campus,active
FLG-000032,REG-TMB-01003,OFR-20031,Varen Valek,1966,Tembaran,Regional logistics manager,1997-01-01,,1997-03-07,Northstar Tembara Cold-Chain Hub,active
FLG-000033,REG-AVL-01007,OFR-20031,Varen Valek,1966,Tembaran,Operations manager,1990-01-01,1996-12-31,1990-02-28,Threshold Earth Avelora Laboratory,historical
FLG-000034,REG-VLN-01004,OFR-20032,Nadia Cevan,1976,Valennan,Corporate adviser,2004-01-01,,2004-02-03,Meridian Valenne Headquarters,active
FLG-000035,REG-AVL-01009,OFR-20033,Liora Maren,1980–1989,Kintaran,Deputy director,2011-01-01,2016-12-31,2011-03-13,Eastern Avelora Agricultural Cluster,historical
FLG-000036,REG-NDH-01011,OFR-20035,Calen Uren,1983,Tembaran,Operations manager,2007-01-01,2006-12-31,2007-03-08,Nordhaven Maritime District,historical
FLG-000037,REG-VLN-01005,OFR-20036,Ilia Toren,1980,Valennan,Strategic adviser,2010-01-01,,2010-02-17,Valenne Central District,active
FLG-000038,REG-VLN-01006,OFR-20037,Nora Yorin,1991,Valennan,Policy consultant,2019-01-01,,2019-01-29,Vale Strategy Valenne Office,active
